NQUEST;Srvyr;DURACAO;Upload;Status;DINI;DFIM;VERSAO;PF1;IDADE1;SEXO;P1;P2;P3;P4;P5;P6;P7;P8;PEA;PARTIDO;ESCOLA;RENDAF;PONTO;PESQ
5873165;tab12;0:11:01;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;58;1;2;3;7;99;2;4;1;99;7;96;2;1;2496;4352
5873221;tab11;0:08:33;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;19;1;2;4;4;1;2;4;2;2;13;2;5;4;1506;13221
5873331;tab11;0:03:31;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;28;1;2;2;8;1;2;4;2;1;1;96;6;2;1506;13221
5873336;tab12;1:25:21;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;69;2;1;3;8;1;99;2;2;2;11;4;2;1;2496;4352
5873372;tab11;0:03:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;56;1;1;5;3;1;2;4;1;1;1;96;7;6;1506;13221
5873534;tab11;0:02:42;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;17;1;4;99;5;99;2;4;99;99;13;96;4;1;1506;13221
5873557;tab12;9:00:06;9/17/2013;Approved;9/16/2013;9/17/2013;11;1;44;1;2;5;,5;1;2;4;1;1;4;96;4;1;2496;4352
5873558;tab18;0:05:33;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;45;2;1;99;2;1;2;4;2;2;7;96;5;3;292;13047
5873584;tab03;0:05:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;1;3;3;7;1;2;3;1;1;13;96;4;2;1748;10231
5873590;tab38;0:05:06;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;18;1;4;3;7;1;1;4;1;2;2;96;3;2;2663;13211
5873602;tab24;0:05:15;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;52;1;1;2;8;1;2;2;1;1;1;96;5;5;2263;13334
5873658;tab03;0:06:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;29;1;1;5;,5;1;2;4;2;2;1;96;7;4;1748;10231
5873687;tab18;0:03:49;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;76;1;1;5;5;1;2;4;99;99;12;96;2;3;292;13047
5873723;tab11;0:03:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;36;1;2;4;3;1;2;4;1;1;13;96;5;4;1506;13221
5873727;tab24;0:03:35;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;2;4;4;6;1;2;4;1;1;13;2;4;1;2263;13334
5873735;tab12;0:07:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;59;2;2;4;99;2;1;3;1;99;11;2;5;1;2496;4352
5873759;tab18;0:03:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;57;1;2;1;8;1;2;2;2;1;1;2;3;3;292;13047
5873763;tab38;0:06:29;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;43;2;2;4;5;1;2;2;1;2;7;96;2;2;2663;13211
5873780;tab15;0:06:09;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;4;1;10;99;2;4;2;1;2;95;1;1;3283;13369
5873790;tab13;0:04:17;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;2;2;7;1;2;2;2;1;1;14;6;4;1222;13222
5873811;tab03;0:08:39;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;41;2;1;5;,5;1;2;4;1;2;11;96;3;2;1748;10231
5873817;tab05;0:03:49;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;43;2;2;5;,5;1;2;2;2;1;10;96;5;2;3142;13633
5873878;tab19;0:07:14;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;26;2;2;5;9;99;1;4;99;99;1;5;5;1;2508;11585
5873880;tab36;0:06:49;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;38;2;2;5;,5;1;2;4;1;2;1;2;7;1;708;13248
5873881;tab22;0:04:55;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;19;2;2;3;5;1;2;2;1;2;1;96;6;4;466;13179
5873882;tab24;0:05:19;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;85;1;2;2;5;2;1;1;1;1;12;96;7;5;2263;13334
5873891;tab27;0:07:02;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;54;2;2;2;7;1;2;4;2;1;12;96;7;2;1882;11645
5873893;tab11;0:04:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;35;2;2;5;5;1;2;2;2;2;7;96;5;3;1506;13221
5873910;tab38;0:06:17;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;2;4;5;8;1;2;4;2;2;13;96;4;1;2663;13211
5873954;tab12;0:11:01;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;45;1;2;1;8;1;2;2;1;1;7;2;2;3;2496;4352
5873955;tab03;0:05:26;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;25;2;1;5;,5;1;2;4;2;1;11;96;4;1;1748;10231
5873985;tab31;0:13:04;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;44;2;2;5;3;1;2;2;2;2;1;96;5;1;53;13518
5873987;tab05;0:03:47;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;17;1;4;4;5;1;1;4;1;1;2;96;1;1;3142;13633
5873988;tab15;0:06:14;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;24;2;2;3;5;1;2;3;2;99;10;96;5;1;3283;13369
5873994;tab40;0:10:48;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;58;1;4;2;,5;1;2;4;2;2;12;96;2;1;1970;13663
5874003;tab18;0:02:53;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;26;1;4;99;5;99;2;4;1;1;1;2;5;2;292;13047
5874005;tab01;0:05:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;19;1;2;3;6;1;2;4;2;1;1;96;5;1;40;12729
5874020;tab19;0:04:40;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;2;5;3;1;2;2;2;1;7;2;5;2;2508;11585
5874038;tab22;0:07:00;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;27;2;1;3;6;1;2;4;2;2;1;4;7;4;466;13179
5874041;tab27;0:06:20;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;64;2;2;5;2;1;2;4;2;2;7;96;1;1;1882;11645
5874042;tab13;0:11:15;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;51;1;1;1;8;1;2;1;2;2;1;96;7;5;1222;13222
5874047;tab03;0:05:36;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;2;2;2;8;1;1;4;1;99;11;2;5;1;1748;10231
5874076;tab36;0:06:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;24;2;2;5;,5;1;2;4;1;1;2;96;5;2;708;13248
5874079;tab05;0:04:30;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;55;1;1;1;10;1;2;1;2;1;6;4;6;4;3142;13633
5874082;tab11;0:05:12;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;69;1;3;5;,5;1;2;2;1;2;12;4;1;3;1506;13221
5874089;tab15;0:04:41;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;1;2;3;7;1;2;4;2;1;1;4;2;2;3283;13369
5874101;tab01;0:03:18;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;30;1;2;5;6;1;2;1;2;2;1;96;2;2;40;12729
5874150;tab40;10:32:58;9/17/2013;Approved;9/16/2013;9/17/2013;11;1;16;2;2;3;7;1;99;2;2;1;1;96;6;2;1970;13663
5874158;tab18;0:03:14;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;41;1;2;4;1;1;2;4;1;1;1;96;4;3;292;13047
5874176;tab24;0:03:40;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;33;2;2;5;,5;1;2;4;2;1;1;96;5;4;2263;13334
5874188;tab31;0:06:38;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;66;2;4;99;99;99;99;4;99;99;7;96;5;1;53;13518
5874193;tab25;0:05:28;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;49;1;2;5;2;1;2;4;1;1;4;95;2;3;688;3261
5874195;tab38;0:04:43;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;77;1;2;4;5;1;2;4;99;99;12;2;1;2;2663;13211
5874223;tab19;0:05:31;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;28;1;2;1;9;1;1;2;1;1;1;95;5;1;2508;11585
5874232;tab03;0:06:18;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;27;1;2;2;9;1;2;3;2;2;2;4;5;1;1748;10231
5874243;tab39;0:04:00;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;55;2;2;2;8;1;2;4;2;1;1;2;3;1;2822;13204
5874244;tab13;0:03:30;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;36;2;1;3;6;1;2;4;2;1;1;96;7;5;1222;13222
5874254;tab01;0:03:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;2;3;5;3;1;1;3;1;2;1;96;5;2;40;12729
5874257;tab15;0:04:59;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;24;2;2;5;5;1;2;4;2;2;16;2;6;1;3283;13369
5874265;tab14;0:12:43;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;26;2;3;5;,5;1;2;4;1;2;1;96;3;1;183;6248
5874266;tab14;0:07:59;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;47;1;1;5;2;1;2;1;2;1;2;96;3;1;183;6248
5874267;tab14;0:13:20;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;66;2;2;2;6;1;2;1;2;1;12;96;7;4;183;6248
5874274;tab07;0:06:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;33;1;2;3;5;1;2;1;2;2;1;96;4;1;3373;13239
5874288;tab05;0:06:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;74;2;2;4;7;1;2;4;1;1;12;96;2;2;3142;13633
5874293;tab12;0:04:02;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;18;2;2;2;7;1;2;2;2;2;13;2;5;2;2496;4352
5874297;tab10;0:05:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;20;1;3;3;6;1;1;3;2;1;2;96;5;1;3271;11248
5874301;tab01;0:03:16;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;24;2;3;2;8;1;2;3;2;2;1;96;6;4;40;12729
5874304;tab22;0:10:57;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;64;2;1;1;9;1;2;1;2;1;11;2;2;1;466;13179
5874305;tab24;0:04:19;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;4;99;99;1;1;2;1;1;1;2;2;1;2263;13334
5874312;tab25;0:06:12;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;67;1;1;5;5;1;2;1;2;1;12;96;7;4;688;3261
5874317;tab18;0:02:53;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;31;1;1;2;7;1;2;1;2;1;1;96;5;4;292;13047
5874334;tab11;0:04:54;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;34;1;2;2;8;1;2;4;2;99;1;2;5;4;1506;13221
5874339;tab02;0:05:30;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;17;1;3;4;3;1;2;4;99;99;8;4;3;97;2091;13467
5874342;tab19;0:05:26;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;67;2;4;5;,5;1;99;4;1;1;14;96;1;1;2508;11585
5874360;tab05;0:03:34;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;1;2;5;2;1;2;4;2;1;1;2;5;4;3142;13633
5874369;tab36;0:11:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;1;2;5;1;1;2;2;1;1;1;96;3;2;708;13248
5874374;tab27;0:16:38;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;23;1;2;5;1;1;2;4;2;1;2;96;4;1;1882;11645
5874377;tab03;0:09:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;2;3;2;1;2;1;2;2;1;96;5;3;1748;10231
5874378;tab01;0:04:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;1;4;1;10;1;2;2;2;2;1;96;1;2;40;12729
5874379;tab15;0:06:34;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;21;1;4;4;3;1;1;4;2;2;1;96;3;1;3283;13369
5874403;tab14;0:07:35;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;75;1;1;4;99;1;2;1;2;99;7;96;5;2;183;6248
5874411;tab10;0:05:50;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;38;2;4;3;7;1;1;4;1;1;1;96;5;2;3271;11248
5874425;tab12;0:08:29;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;69;1;3;99;5;1;99;4;99;99;12;96;2;2;2496;4352
5874472;tab19;0:07:00;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;17;2;4;3;5;2;1;4;1;1;11;96;3;1;2508;11585
5874476;tab38;0:05:41;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;23;2;3;5;1;1;2;4;2;2;1;96;5;4;2663;13211
5874491;tab25;0:09:53;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;63;2;2;5;5;1;99;2;99;1;7;2;2;3;688;3261
5874495;tab01;0:04:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;1;2;8;1;1;1;1;2;1;96;8;4;40;12729
5874498;tab31;0:12:21;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;46;1;2;5;,5;1;2;2;2;1;2;96;3;3;53;13518
5874514;tab07;0:04:17;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;31;1;2;3;5;1;2;2;1;1;4;98;5;4;3373;13239
5874528;tab13;0:15:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;41;2;1;5;1;1;2;4;1;1;2;1;4;1;1222;13222
5874540;tab04;0:04:39;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;30;1;1;3;5;1;2;4;1;1;1;96;5;1;3401;13266
5874544;tab16;0:04:47;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;27;2;2;3;6;1;2;4;2;2;1;96;5;3;2143;898
5874547;tab02;0:05:24;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;2;99;3;1;1;4;1;99;4;96;3;1;2091;13467
5874548;tab15;0:04:50;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;2;4;5;5;1;2;4;1;2;10;95;5;4;3283;13369
5874552;tab03;0:08:06;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;58;2;3;1;8;1;1;4;2;2;11;2;1;1;1748;10231
5874591;tab05;0:04:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;48;1;2;4;2;1;2;2;2;1;2;4;5;2;3142;13633
5874603;tab22;0:10:55;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;22;1;2;4;7;1;2;2;2;2;1;2;2;2;466;13179
5874668;tab01;0:03:31;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;47;2;4;3;7;1;2;2;1;1;1;96;2;3;40;12729
5874675;tab27;0:09:39;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;47;2;4;99;6;1;2;4;1;1;1;5;2;1;1882;11645
5874686;tab32;0:14:08;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;34;2;2;5;5;1;2;2;1;2;1;96;2;2;825;10348
5874697;tab09;0:17:13;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;49;2;2;3;8;1;1;4;2;2;1;2;2;1;3844;12583
5874710;tab39;0:04:34;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;23;2;3;3;6;1;2;4;2;99;1;96;5;3;2822;13204
5874715;tab19;0:04:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;77;1;4;5;5;1;2;4;99;99;12;5;2;2;2508;11585
5874722;tab07;0:03:12;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;1;2;4;4;1;2;4;2;2;7;96;4;3;3373;13239
5874750;tab10;0:04:39;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;20;2;2;5;2;1;2;4;2;1;1;96;5;5;3271;11248
5874788;tab02;0:07:30;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;56;2;1;2;7;1;99;3;1;2;4;4;6;2;2091;13467
5874811;tab05;0:04:36;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;1;2;3;4;1;1;4;1;1;1;4;2;1;3142;13633
5874821;tab01;0:04:16;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;29;2;2;5;1;1;2;4;2;1;1;96;5;2;40;12729
5874822;tab24;0:10:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;2;3;3;5;1;2;4;2;2;7;96;4;1;688;3261
5874827;tab40;1:34:52;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;28;2;2;3;4;1;2;2;2;1;1;96;5;2;1970;13663
5874828;tab40;0:02:46;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;2;2;8;1;2;2;1;2;5;2;4;4;1970;13663
5874829;tab35;0:13:06;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;42;1;2;3;5;1;2;2;1;1;12;2;3;5;802;5621
5874839;tab36;0:15:51;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;47;2;4;99;99;1;2;4;99;99;1;96;5;1;708;13248
5874849;tab32;0:06:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;2;3;6;1;2;2;1;1;6;96;7;4;825;10348
5874859;tab31;0:05:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;30;1;2;1;10;1;2;1;2;2;10;4;3;1;53;13518
5874873;tab37;0:08:26;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;2;1;8;1;2;1;2;2;6;96;7;5;3547;11628
5874882;tab25;0:06:09;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;49;2;2;5;,5;1;2;2;2;1;1;96;5;3;2263;13334
5874887;tab01;0:02:49;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;51;1;4;1;10;1;1;4;1;1;1;96;3;2;40;12729
5874890;tab09;0:05:36;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;31;1;2;5;,5;1;2;2;2;1;1;2;5;2;3844;12583
5874896;tab22;0:07:21;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;31;2;3;5;5;1;2;2;2;2;1;96;5;2;466;13179
5874929;tab18;0:02:55;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;65;1;2;1;4;1;2;2;2;99;7;96;2;5;292;13047
5874931;tab14;0:18:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;34;2;3;3;7;1;2;2;2;2;7;96;8;5;183;6248
5874947;tab16;0:05:39;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;54;1;2;5;99;1;2;2;2;2;10;4;2;4;2143;898
5874957;tab08;0:07:23;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;21;1;2;3;9;1;2;4;1;2;1;96;4;3;2516;12008
5874975;tab37;0:02:44;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;37;2;4;5;,5;1;2;4;2;2;1;96;1;1;3547;11628
5874986;tab02;0:05:25;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;26;1;2;2;9;1;1;1;2;1;1;2;5;3;2091;13467
5874997;tab03;0:16:09;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;2;3;5;1;2;4;2;2;2;96;5;1;1748;10231
5875001;tab36;0:05:29;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;85;1;3;5;,5;2;1;4;2;99;12;2;2;1;708;13248
5875007;tab01;0:04:27;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;44;2;4;99;5;1;2;4;2;1;7;96;5;4;40;12729
5875033;tab07;0:03:57;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;45;2;2;3;7;1;1;4;1;1;7;96;5;1;3373;13239
5875054;tab32;0:03:32;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;22;1;2;2;7;1;2;2;2;1;1;4;7;5;825;10348
5875097;tab24;0:05:09;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;2;2;4;6;1;1;2;1;2;2;8;4;1;2263;13334
5875178;tab09;0:05:57;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;57;1;1;3;5;1;2;1;1;2;6;5;3;3;3844;12583
5875179;tab38;0:25:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;35;2;2;99;8;1;2;4;2;2;2;2;2;1;2663;13211
5875181;tab37;0:03:01;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;48;2;4;99;,5;99;2;4;99;99;1;96;2;1;3547;11628
5875195;tab40;0:02:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;46;2;2;5;,5;1;2;2;2;1;11;2;5;1;1970;13663
5875199;tab18;0:04:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;38;1;2;4;3;1;2;2;2;1;7;96;7;4;292;13047
5875205;tab15;0:12:32;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;59;1;4;99;99;2;1;2;1;1;12;96;1;2;3283;13369
5875237;tab08;0:05:38;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;59;2;2;3;6;1;2;2;1;1;11;2;5;4;2516;12008
5875238;tab29;0:08:58;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;47;2;2;5;,5;1;2;4;1;2;10;96;1;1;380;11150
5875243;tab22;0:07:29;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;63;2;2;99;99;1;2;4;1;1;11;96;2;1;466;13179
5875245;tab03;0:06:03;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;48;2;1;3;6;1;2;4;1;1;11;96;2;2;1748;10231
